Name,Description,Rarity,Category,Type,Value,IsStackable
"Berserker","공격력이 20% 증가",Rare,Offense,Berserker,0.2,false
"Slayer","치명타 확률이 15% 증가",Rare,Offense,Slayer,0.15,false
"Overdrive","발사 속도가 20% 증가",Rare,Offense,Overdrive,0.2,false
"IronSkin","실드 최대치가 50 증가",Common,Defense,IronSkin,50,false
"Survivor","적 처치 시 체력 10 회복",Common,Defense,Survivor,10,true
"Retaliation","피격 시 실드 10 회복",Rare,Defense,Retaliation,10,false
"Predator","체력 50% 이하일 때 공격력 +25%",Epic,Offense,Predator,0.25,false
"TriggerRush","적 처치 시 3초간 이속 +30%",Epic,Movement,TriggerRush,0.3,false
"AdrenalSurge","연속 명중 시 공속 증가(스택)",Epic,Offense,AdrenalSurge,0.15,true
"ChainReaction","처치 시 폭발 효과 발생",Legendary,Offense,ChainReaction,1,false
"Vengeance","피격 후 5초간 공격력 +20%",Epic,Offense,Vengeance,0.2,false
"BulletFever","연속 사격 시 크리티컬 확률 증가",Legendary,Offense,BulletFever,0.05,true
"ColdRage","체력이 낮을수록 치명타 확률 증가",Legendary,Offense,ColdRage,0.3,false
"SecondWind","체력 20% 이하일 때 실드 50 회복",Rare,Defense,SecondWind,50,false
"UltCharger","명중 시 궁극기 게이지 +1% 충전",Legendary,Utility,UltCharger,1,true

