Name,Description,Rarity,Category,Type,Value,IsStackable
"Berserker","공격력이 20% 증가",Rare,Offense,Berserker,0.2,false
"Slayer","크리티컬 확률 +15%",Rare,Offense,Slayer,0.15,false
"Overdrive","발사 속도 +20%",Rare,Offense,Overdrive,0.2,false
"IronSkin","최대 실드 +50",Common,Defense,IronSkin,50,false
"Survivor","처치 시 체력 10 회복",Common,Defense,Survivor,10,true
"Retaliation","피격 시 실드 10 회복",Rare,Defense,Retaliation,10,false
"Predator","체력 50% 이하일 때 공격력 +25%",Epic,Offense,Predator,0.25,false
"TriggerRush","처치 시 3초간 이속 +30%",Epic,Movement,TriggerRush,0.3,false
"AdrenalSurge","연속 명중 시 공속 증가(스택)",Epic,Offense,AdrenalSurge,0.15,true
"ChainReaction","처치 시 폭발 효과",Legendary,Offense,ChainReaction,1,false
"Vengeance","피격 후 5초간 공격력 +20%",Epic,Offense,Vengeance,0.2,false
"BulletFever","연속 사격 시 크리티컬 상승",Legendary,Offense,BulletFever,0.05,true
"ColdRage","체력 낮을수록 크리티컬 증가",Legendary,Offense,ColdRage,0.3,false
"SecondWind","체력 20% 이하 시 실드 50 자동 회복",Rare,Defense,SecondWind,50,false
"UltCharger","명중 시 궁극기 게이지 +1%",Legendary,Utility,UltCharger,1,true
